"","university","percent_disagree_strongly_2020","percent_disagree_mildly_2020","percent_neutral_2020","percent_agree_mildly_2020","percent_agree_strongly_2020","sample_size_2020","respondents_2020","percent_disagree_strongly_2021","percent_disagree_mildly_2021","percent_neutral_2021","percent_agree_mildly_2021","percent_agree_strongly_2021","sample_size_2021","respondents_2021"
"131","Greater Brighton Metropolitan College",6,8,11,41,34,147,117,4,5,20,31,40,185,140
"132","University of Greenwich",3,8,11,47,31,3069,2096,5,9,13,43,30,3578,2497
"133","Grŵp Llandrillo Menai",3,4,8,38,47,255,190,4,10,9,39,38,187,137
"134","Guildhall School of Music & Drama",1,4,4,39,50,165,137,2,12,7,44,34,178,140
"135","Hadlow College",0,0,8,62,31,20,13,NA,NA,NA,NA,NA,NA,NA
"136","Halesowen College",4,13,8,38,38,37,24,NA,NA,NA,NA,NA,NA,NA
"137","Harper Adams University",1,3,5,47,44,507,438,3,6,6,41,44,544,469
"138","Hartpury University",1,2,6,43,47,399,337,4,8,8,45,35,459,375
"139","Havant and South Downs College",0,0,14,29,57,31,21,14,0,7,21,57,27,14
"140","HCUC",0,7,7,52,33,60,54,NA,NA,NA,NA,NA,NA,NA
"141","Heart of Worcestershire College",3,3,16,43,36,302,160,6,7,11,43,32,376,201
"142","Hereford College of Arts",0,3,10,46,41,84,68,5,5,5,33,51,91,75
"143","Heriot-Watt University",2,5,8,48,36,1622,1168,4,8,9,45,34,1789,1250
"144","Hertford Regional College",0,0,12,23,65,34,26,NA,NA,NA,NA,NA,NA,NA
"145","University of Hertfordshire",3,5,11,45,37,4203,2984,4,8,13,43,31,4608,3364
"146","Highbury College Portsmouth",0,25,42,25,8,20,12,NA,NA,NA,NA,NA,NA,NA
"147","University of the Highlands and Islands",3,6,10,41,41,1018,731,3,10,10,41,37,1041,787
"148","Holy Cross College",2,1,6,27,64,105,83,2,8,7,35,48,101,60
"149","Hopwood Hall College",6,0,17,33,44,22,18,0,0,0,69,31,22,16
"150","The University of Huddersfield",3,7,12,43,35,3428,2483,7,10,14,43,26,3443,2350
"151","Hugh Baird College",8,1,8,25,58,130,91,8,8,15,37,31,122,71
"152","The University of Hull",2,5,9,48,36,3411,2124,4,8,11,43,34,2903,1952
"153","Hull College",11,12,12,34,32,190,138,3,10,17,31,39,87,59
"154","Hy Education Limited",5,0,0,30,65,37,20,0,0,0,31,69,65,36
"155","ICMP Management Limited",10,9,13,48,20,242,172,10,13,25,32,20,218,167
"156","ICON College of Technology and Management Ltd",1,2,7,40,50,635,478,3,3,7,38,49,608,461
"157","Imperial College of Science, Technology and Medicine",3,7,9,43,38,2199,1637,3,4,8,43,41,2416,1763
"158","The College of Integrated Chinese Medicine",4,0,11,30,56,41,27,5,0,5,29,62,40,21
"159","Inter-ED UK Limited",0,5,9,23,63,49,43,0,7,7,29,57,19,14
"160","International College of Oriental Medicine (U.K.) Limited(The)",0,0,0,21,79,15,14,0,8,8,17,67,14,12
"161","Irshad Trust",0,10,0,50,40,11,10,NA,NA,NA,NA,NA,NA,NA
"162","Istituto Marangoni Limited",3,8,13,26,50,149,127,3,6,15,38,38,188,160
"163","Kaplan Open Learning (Essex) Limited",0,2,9,43,47,142,101,0,0,6,39,55,84,64
"164","University of Keele",2,5,8,43,42,1994,1400,3,7,10,45,36,2095,1595
"165","Kendal College",0,0,13,53,33,23,15,0,19,6,63,13,29,16
"166","Kensington Education Foundation Limited",3,5,7,30,54,177,115,0,0,4,39,57,33,23
"167","The University of Kent",2,5,10,45,38,4445,3095,4,8,12,45,31,4358,3045
"168","The Kingham Hill Trust",0,0,0,6,94,35,34,0,0,0,16,84,37,32
"169","King's College London",5,7,10,49,29,4886,3231,6,9,13,46,28,4919,3126
"170","Kingston Maurward College",0,13,7,40,40,18,15,0,8,33,33,25,21,12
"171","Kingston University",3,5,10,46,36,3145,2353,5,7,14,43,31,3334,2556
"172","KLC Limited",0,0,0,42,58,45,31,5,5,5,19,67,25,21
"173","Lakes College West Cumbria",17,4,17,30,30,46,23,4,13,13,54,17,46,24
"174","Lamda Limited",0,0,4,24,72,53,46,10,21,17,38,14,56,42
"175","The University of Lancaster",2,4,8,46,41,3018,2092,2,6,9,45,38,3165,2002
"176","The University of Law Limited",3,1,5,36,55,395,259,2,4,8,41,44,569,366
"177","LCCM AU UK Limited",3,5,5,43,43,49,37,0,12,12,38,38,48,34
"178","The University of Leeds",3,7,8,47,35,6506,4028,5,9,11,48,28,7450,4943
"179","Leeds Arts University",4,4,10,33,50,541,367,8,14,15,37,27,656,448
"180","Leeds Beckett University",2,5,8,45,40,4117,3157,5,9,11,45,29,4951,3503
"181","Leeds College of Building",0,0,29,43,29,40,21,NA,NA,NA,NA,NA,NA,NA
"182","Leeds Conservatoire",1,7,7,48,36,314,267,6,11,14,43,26,343,260
"183","Leeds Trinity University",3,6,10,43,39,698,501,5,11,17,39,27,768,575
"184","The University of Leicester",3,5,10,49,34,3467,2397,5,8,11,42,34,3193,1859
"185","Leicester College",3,10,7,32,48,94,69,6,12,10,51,20,72,49
